General,Общо,module,Magento_Backend
Cancel,Отказ,module,Magento_Backend
"Delete %1 '%2'","Изтриване %1 '%2'",module,Magento_Backend
"Delete %1","Изтриване %1",module,Magento_Backend
"Block Information","Блок Информация",module,Magento_Backend
"Backup Options","Опции за архивиране",module,Magento_Backend
"Create DB Backup","Създаване архив на DB",module,Magento_Backend
Yes,Да,module,Magento_Backend
No,Не,module,Magento_Backend
"Delete Store","Изтриване склад",module,Magento_Backend
"Delete Web Site","Изтриване на сайт",module,Magento_Backend
"Save Web Site","Запазване на сайт",module,Magento_Backend
"Save Store","Запазване склад",module,Magento_Backend
"Save Store View","Запазване на Изглед Склад",module,Magento_Backend
"Delete Store View","Изтриване на Изглед Склад",module,Magento_Backend
"Edit Web Site","Редактиране на Сайт",module,Magento_Backend
"New Web Site","Нов Сайт",module,Magento_Backend
"Edit Store","Редактиране Склад",module,Magento_Backend
"New Store","Нов Склад",module,Magento_Backend
"Edit Store View","Редактиране Изглед Склад",module,Magento_Backend
"New Store View","Нов Изглед Склад",module,Magento_Backend
"Store Information","Информация Склад",module,Magento_Backend
"Web Site","Сайт",module,Magento_Backend
Name,Име,module,Magento_Backend
"Root Category","Основна Категория",module,Magento_Backend
"Default Store View","Нормален Изглед Склад",module,Magento_Backend
"Store View Information","Информация за Изглед Склад",module,Magento_Backend
Code,Код,module,Magento_Backend
Status,Състояние,module,Magento_Backend
Disabled,Деактивиран,module,Magento_Backend
Enabled,Активиран,module,Magento_Backend
"Sort Order","Ред Сортиране",module,Magento_Backend
"Web Site Information","Информация за сайт",module,Magento_Backend
"Default Store","Основен Склад",module,Magento_Backend
"Set as Default","Задай като Основен",module,Magento_Backend
Stores,Складове,module,Magento_Backend
"Create Website","Създаване Сайт",module,Magento_Backend
"Create Store","Създаване Склад",module,Magento_Backend
"Create Store View","Създаване Изглед Склад",module,Magento_Backend
Home,Начало,module,Magento_Backend
Reset,Изчистване,module,Magento_Backend
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?",module,Magento_Backend
"Add New Image","Добавяне ново изображение",module,Magento_Backend
"Export block for grid %1 is not defined","Не е дефиниран Експортен Блок за мрежа %1",module,Magento_Backend
"Reset Filter","Изчистване Филтър",module,Magento_Backend
Search,Търсене,module,Magento_Backend
Any,Всеки,module,Magento_Backend
"All Countries","Всички страни",module,Magento_Backend
From,От,module,Magento_Backend
To,До,module,Magento_Backend
"Date selector","Селектор за дата",module,Magento_Backend
"[ deleted ]","[ изтрито ]",module,Magento_Backend
"Select All","Избери всичко",module,Magento_Backend
" [deleted]"," [изтрито]",module,Magento_Backend
"We couldn't find any records.","Не намираме записи.",module,Magento_Backend
"Add New","Добави Нов",module,Magento_Backend
"Invalid export type supplied for grid export block","Зададен е невалиден експорт тип за ежпорт блок мрежата",module,Magento_Backend
Export,Експорт,module,Magento_Backend
"Please correct the column format and try again.","Моля коригирайте формата на колоната и опитайте отново.",module,Magento_Backend
"Please select items.","Моля изберете продукти.",module,Magento_Backend
Submit,Изпращане,module,Magento_Backend
"Unknown block type","Нопознат тип блок",module,Magento_Backend
"Please correct the tab configuration and try again. Tab Id should be not empty","Моля коригирайте Таб конфигурацията и опитайте отново. ID на Таб не може да бъде празен",module,Magento_Backend
"Please correct the tab configuration and try again.","Моля коригирайте Таб конфигурацията и опитайте отново.",module,Magento_Backend
"You have logged out.","Излязохте.",module,Magento_Backend
"Specified cache type(s) don't exist: %1","Посоченият кеш тип(ове) не съществува(т): %1",module,Magento_Backend
"The image cache was cleaned.","Кешът за изображения е изчистен.",module,Magento_Backend
"An error occurred while clearing the image cache.","Възникна грешка при изчистване на кеша за изображения.",module,Magento_Backend
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS кешът е изчистен.",module,Magento_Backend
"An error occurred while clearing the JavaScript/CSS cache.","Възникна грешка при изчистване на JavaScript/CSS кеша.",module,Magento_Backend
"The static files cache has been cleaned.","Кешът за статични файлове е изчистен.",module,Magento_Backend
"You flushed the cache storage.","Вие Промихте Кеша.",module,Magento_Backend
"The Magento cache storage has been flushed.","Кешът на Magento беше Промит.",module,Magento_Backend
"Cache Management","Управление на кеша",module,Magento_Backend
"%1 cache type(s) disabled.","%1 кеш типове са сеактивирани.",module,Magento_Backend
"An error occurred while disabling cache.","Възникна грешка при деактивиране на кеша.",module,Magento_Backend
"%1 cache type(s) enabled.","%1 кеш типове са активирани.",module,Magento_Backend
"An error occurred while enabling cache.","Възникна грешка при активиране на кеша.",module,Magento_Backend
"%1 cache type(s) refreshed.","%1 кеш типове са обновени.",module,Magento_Backend
"An error occurred while refreshing cache.","Възникна грешка при обновяване на кеша.",module,Magento_Backend
Dashboard,Табло,module,Magento_Backend
"We updated lifetime statistic.","Актуализирахме Цялата статистика.",module,Magento_Backend
"We can't refresh lifetime statistics.","Не може да се актуализира Цялата статистика.",module,Magento_Backend
"invalid request","невалидна заявка",module,Magento_Backend
"see error log for details","виж вурнала за грешки за детайли",module,Magento_Backend
"Service unavailable: %1","Услугата е недостъпна: %1",module,Magento_Backend
Error,Грешка,module,Magento_Backend
"Access Denied.","Отказан Достъп.",module,Magento_Backend
"You need more permissions to do this.","Трябват ви още права за направите това.",module,Magento_Backend
"No search modules were registered","Не са регистрирани търсещи модули",module,Magento_Backend
"Please make sure that all global admin search modules are installed and activated.","Моля уверете се глобалните административни модули за търсене за инсталирани и активни.",module,Magento_Backend
"You saved the account.","Записахте информацията.",module,Magento_Backend
"An error occurred while saving account.","Възникна грешак пори записване на информацията.",module,Magento_Backend
"You deleted the design change.","Изтрихте Дизайн Промяната.",module,Magento_Backend
"You can't delete the design change.","Не може да изтриете Дизайн Промяната.",module,Magento_Backend
"Store Design","Дизайн Склад",module,Magento_Backend
"Edit Store Design Change","Редактиране Промяната на Дизайн Склада",module,Magento_Backend
"You saved the design change.","ЗАписахте Дизайн Промяната.",module,Magento_Backend
System,Система,module,Magento_Backend
"Manage Stores","Upravlenıe Skladove",module,Magento_Backend
"The database was backed up.","Bazata e arhıvırana.",module,Magento_Backend
"We can't create a backup right now. Please try again later.","Не можем да създадем архив сега. Моля опитайте по-късно.",module,Magento_Backend
